date,open,high,low,close,close_adj,volume,div,split,trend,seasonal,residual,SMA,EMA,diffCloseSMA,BBlow,BBmid,BBup,BBwidth,BBperc,RSI,5dayMinimum,5dayMaximum,5dayExtremum,20dayMinimum,20dayMaximum,20dayExtremum,60dayMinimum,60dayMaximum,60dayExtremum,10dayTrendWeak,5dayTrendStrong,1dayReturn,1dayReturn_perc,2dayReturn,2dayReturn_perc,3dayReturn,3dayReturn_perc,4dayReturn,4dayReturn_perc,5dayReturn,5dayReturn_perc,close_adj_in1days,close_adj_in2days,close_adj_in3days,close_adj_in4days,close_adj_in5days,buySellKeepRec
2011-06-29,69.55,70.02,67.98,68.86,46.9045,3465572.0,0.0,1.0,39.69913988095237,1.0090613684064385,1.1708892901471641,43.453424999999996,44.036988825490994,3.451075000000003,39.7459653031856,43.453424999999996,47.16088469681439,17.064062024175985,0.9654231309601706,78.8408127361126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.03410000000000224,0.0007270091355841002,-0.7424999999999997,0.01583003762965174,-0.027200000000000557,0.0005799017151872921,-0.047699999999998965,0.0010169599931776352,-0.7083999999999975,0.015103028494067638,46.8704,46.162,46.8773,46.8568,46.1961,0.0
2011-06-28,67.84,69.38,67.29,69.1,47.068,2638323.0,0.0,1.0,39.712424206349205,1.006906537002048,1.1770913966151022,43.17245,43.73514554396373,3.89555,39.71009541590508,43.17245,46.634804584094915,16.039648359520566,1.0625579219839383,81.32459593162925,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.1634999999999991,0.0034736976289623245,-0.19760000000000133,0.004198181354635899,-0.9059999999999988,0.019248746494433533,-0.19069999999999965,0.004051584940936492,-0.21119999999999806,0.004487125010622872,46.9045,46.8704,46.162,46.8773,46.8568,0.0
2011-06-27,67.09,68.06,66.79,67.76,46.1552,2061224.0,0.0,1.0,39.72561746031746,1.006434671844985,1.1544214590902175,42.91293,43.38431875911781,3.2422699999999978,39.909804613273195,42.91293,45.91605538672681,13.996366068347267,1.0398159554592958,77.81245219031983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9127999999999972,-0.019776753215238863,0.7492999999999981,-0.016234357125524346,0.7151999999999958,-0.01549554546399956,0.006799999999998363,-0.0001473290116822401,0.7220999999999975,-0.01564504107879494,47.068,46.9045,46.8704,46.162,46.8773,0.0
2011-06-24,66.12,68.46,66.12,67.13,45.7261,4747099.0,0.0,1.0,39.74279682539682,1.00395069192043,1.14602304788062,42.67691,43.09264704955126,3.049190000000003,40.006619559691494,42.67691,45.347200440308505,12.513982105585928,1.0709472561433657,75.89447104692124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.42909999999999826,-0.009384137287019811,1.3418999999999954,-0.02934647826952208,1.1783999999999963,-0.025770839848576532,1.144299999999994,-0.0250250950769908,0.4358999999999966,-0.00953284885437422,46.1552,47.068,46.9045,46.8704,46.162,1.0
2011-06-23,65.15,66.07,64.66,65.21,44.4183,2965074.0,0.0,1.0,39.76961865079365,1.0079262326795293,1.1081071520456678,42.45792,42.81544147581981,1.9603800000000007,40.12699374239275,42.45792,44.788846257607254,10.97993617024693,0.9205152337192284,68.4021158704702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.3078000000000003,-0.029442819738711323,1.7368999999999986,-0.039103252488276175,2.6496999999999957,-0.059653341077889,2.4861999999999966,-0.05597242577946471,2.4520999999999944,-0.05520472417899813,45.7261,46.1552,47.068,46.9045,46.8704,1.0
2011-06-22,64.9,65.63,64.02,65.39,44.5409,3423654.0,0.0,1.0,39.80234920634919,1.0126706292547996,1.1050503547338915,42.27025999999999,42.64671952590611,2.2706400000000073,39.99724990816078,42.27025999999999,44.543270091839204,10.754653942697354,0.9994786446730454,70.24417537996989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.12259999999999849,0.002752526329732885,1.1852000000000018,-0.026609251272426082,1.6143,-0.036243093426491235,2.5270999999999972,-0.05673661735618274,2.363599999999998,-0.05306583387403485,44.4183,45.7261,46.1552,47.068,46.9045,0.0
2011-06-21,64.41,64.87,63.83,64.85,44.1731,2594437.0,0.0,1.0,39.83676587301587,1.0229719283700465,1.0839520946335557,42.11223,42.447332107580436,2.0608700000000013,40.06432240628321,42.11223,44.16013759371678,9.725951789856706,1.0031647927677463,67.9109612818852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.36780000000000257,-0.008326334352807496,0.24520000000000408,-0.005550889568538331,1.5530000000000044,-0.035157143148205616,1.9821000000000026,-0.044871199893147695,2.8949,-0.06553535975514513,44.5409,44.4183,45.7261,46.1552,47.068,1.0
2011-06-20,63.66,64.24,62.93,63.9,43.526,2213674.0,0.0,1.0,39.86658134920634,1.022673330001593,1.0675859066039854,41.956585000000004,42.26567232943101,1.5694149999999993,40.09407582120306,41.956585000000004,43.819094178796945,8.878268709414462,0.921317386745374,63.36194852846187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.6470999999999947,-0.014866976060285753,1.0148999999999972,-0.02331709782658642,0.8922999999999988,-0.020500390571152938,2.200099999999999,-0.05054679961402386,2.6291999999999973,-0.06040527500804105,44.1731,44.5409,44.4183,45.7261,46.1552,1.0
2011-06-17,63.06,64.55,62.44,64.18,43.7167,5171504.0,0.0,1.0,39.88955813492063,1.0269688108717783,1.0671633250851433,41.794124999999994,42.1330062588448,1.922575000000009,39.94072534652457,41.794124999999994,43.647524653475415,8.869187492143555,1.0186617458341685,65.83740298875225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.19069999999999965,0.00436217738301381,0.45639999999999503,-0.010439946290547786,0.8241999999999976,-0.018853207126795946,0.7015999999999991,-0.01604878684804656,2.0093999999999994,-0.04596412812494988,43.526,44.1731,44.5409,44.4183,45.7261,0.0
2011-06-16,62.0,63.44,61.49,63.44,43.2126,2907755.0,0.0,1.0,39.91092301587302,1.0142403814660697,1.0675241977012975,41.685140000000004,41.96630165451268,1.5274599999999978,40.05371636353926,41.685140000000004,43.31656363646075,7.827363115300777,0.9681371428802242,62.33671746290228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5041000000000011,-0.01166557902093368,0.31340000000000146,-0.0072525143129551495,0.9604999999999961,-0.022227313329908238,1.3282999999999987,-0.030738719725265318,1.2057000000000002,-0.02790158426014644,43.7167,43.526,44.1731,44.5409,44.4183,1.0
